0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"And tbf for a movie that released back then DDLJ IS progressive. It advocates for a woman’s agency, for love marria… https://t.co/N66NNsaxoy","And tbf for a movie that released back then DDLJ IS progressive. It advocates for a woman’s agency, for love marria… https://t.co/N66NNsaxoy",0.25,0.3,positive,0.0,0.819,0.181,0.6369
"Ruk ja o dil deewane in @AmaalMallik 's voice 🥺❤️🦋

#DDLJ #ravivaarwithstarparivaar 
#SundaysWithAmaal #HostAmaalMallik","Ruk ja o dil deewane in @AmaalMallik 's voice 🥺❤️🦋

#DDLJ #ravivaarwithstarparivaar 
#SundaysWithAmaal #HostAmaalMallik",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@moodydamsel_ Ddlj,@moodydamsel_ Ddlj,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Who said stupid shit about DDLJ???? 🔪,Who said stupid shit about DDLJ???? 🔪,-0.5,0.9,negative,0.666,0.334,0.0,-0.8385
ddlj🙂 https://t.co/lFPTnih6WM,ddlj🙂 https://t.co/lFPTnih6WM,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Bruh I’d still take DDLJ over the overtly misogynistic films releasing these days. Y’all lap up that shit and drool… https://t.co/JjwY1LbxMK,Bruh I’d still take DDLJ over the overtly misogynistic films releasing these days. Y’all lap up that shit and drool… https://t.co/JjwY1LbxMK,-0.2,0.8,negative,0.153,0.847,0.0,-0.5574
i saw the 25 yrf jubilee logo right before ddlj. and now we see the new 50 yrf logo. that’s how long this film has… https://t.co/Rx70ryvSPE,i saw the 25 yrf jubilee logo right before ddlj. and now we see the new 50 yrf logo. that’s how long this film has… https://t.co/Rx70ryvSPE,0.12402597402597403,0.46341991341991334,neutral,0.0,1.0,0.0,0.0
Why is DDLJ trending bhai,Why is DDLJ trending bhai,0.0,0.0,neutral,0.0,1.0,0.0,0.0
why everyone’s talking about DDLJ? ab kya hua???,why everyone’s talking about DDLJ? ab kya hua???,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@moodydamsel_ DDLJ,@moodydamsel_ DDLJ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
ddlj stands above all. negative hot takes are not accepted here 🫡,ddlj stands above all. negative hot takes are not accepted here 🫡,-0.016666666666666663,0.45,negative,0.38,0.62,0.0,-0.672
@LoyleMoltisanti why is there ddlj discourse today,@LoyleMoltisanti why is there ddlj discourse today,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Also DDLJ is one of the greatest romances ever made that still holds up very well.,Also DDLJ is one of the greatest romances ever made that still holds up very well.,0.6,0.65,positive,0.0,0.594,0.406,0.8357
@d_majumdar92 DDLJ for example was a hit cuz it was mostly those family/action movies doing well at that point. So… https://t.co/1IJqu1u0Fm,@d_majumdar92 DDLJ for example was a hit cuz it was mostly those family/action movies doing well at that point. So… https://t.co/1IJqu1u0Fm,0.5,0.5,positive,0.0,0.9,0.1,0.2732
@moodydamsel_ DDLJ,@moodydamsel_ DDLJ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
DDLJ is a bigger hit and more relevant than all the combined projects of other stars. It has its own cult following… https://t.co/5hgwxTPttd,DDLJ is a bigger hit and more relevant than all the combined projects of other stars. It has its own cult following… https://t.co/5hgwxTPttd,0.275,0.655,neutral,0.0,1.0,0.0,0.0
@khudajaanee U talking abt Ddlj?,@khudajaanee U talking abt Ddlj?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
