0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"Save on #Lenovo #LP40 TWS Wireless #Earphone #Bluetooth
(51% off)
👉👉https://t.co/Lf3suwkzpC https://t.co/yAr5uSktzB","Save on #Lenovo #LP40 TWS Wireless #Earphone #Bluetooth
(51% off)
👉👉https://t.co/Lf3suwkzpC https://t.co/yAr5uSktzB",0.0,0.0,positive,0.0,0.775,0.225,0.4939
Laptop Lenovo Yoga 11e 4GB Intel Core 2 Duo SSD 128GB https://t.co/tqriP3YsBH,Laptop Lenovo Yoga 11e 4GB Intel Core 2 Duo SSD 128GB https://t.co/tqriP3YsBH,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@lenovo_marco (IF) The assault on Odessa could take place from three fronts: #Transnistria , #BlackSea  (amphibious… https://t.co/F9R50SHH1i","@lenovo_marco (IF) The assault on Odessa could take place from three fronts: #Transnistria , #BlackSea  (amphibious… https://t.co/F9R50SHH1i",0.0,0.0,negative,0.202,0.798,0.0,-0.5859
"@Lenovo Thanks Chris. Do you happen to know, when it will be released in the US?","@Lenovo Thanks Chris. Do you happen to know, when it will be released in the US?",0.2,0.2,positive,0.0,0.838,0.162,0.4404
"#一番パソコン初心者っぽいこといった奴が優勝

ネットで調べたけどやっぱり中華メーカーは怖いからLenovoにしよう👍","#一番パソコン初心者っぽいこといった奴が優勝

ネットで調べたけどやっぱり中華メーカーは怖いからLenovoにしよう👍",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@arozgj @lenovo_1270 Ние за жал одамна престанавме да бидеме држава. Испадите на почетокот беа смешни, сега веќе се трагични !","@arozgj @lenovo_1270 Ние за жал одамна престанавме да бидеме држава. Испадите на почетокот беа смешни, сега веќе се трагични !",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Nightyxx As of now, we haven't received any news on the release date on when will the Lenovo Chromebook Duet 3 be… https://t.co/nfI3jrtjN4","@Nightyxx As of now, we haven't received any news on the release date on when will the Lenovo Chromebook Duet 3 be… https://t.co/nfI3jrtjN4",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"How does a global technology leader make progress toward that “Mars shot” of net-zero emissions?  

Take a look at… https://t.co/D8HbddKMO3","How does a global technology leader make progress toward that “Mars shot” of net-zero emissions?  

Take a look at… https://t.co/D8HbddKMO3",0.0,0.0,positive,0.0,0.859,0.141,0.4215
BES Laptop PC BES Laptop PC BES Laptop PC 3D-VR-NFT 3D VR Artwork BES Stock Catalog Guaranteed Renewed Lenovo Think… https://t.co/2odtpTHa6a,BES Laptop PC BES Laptop PC BES Laptop PC 3D-VR-NFT 3D VR Artwork BES Stock Catalog Guaranteed Renewed Lenovo Think… https://t.co/2odtpTHa6a,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Flipkart Pickup is not done yet for Lenovo backpack. I did not get any call to pickup. Worst service. Could you he… https://t.co/nDLDm7asDC,@Flipkart Pickup is not done yet for Lenovo backpack. I did not get any call to pickup. Worst service. Could you he… https://t.co/nDLDm7asDC,-1.0,1.0,negative,0.163,0.837,0.0,-0.6249
@lenovo_marco And Transnistria. https://t.co/GuKOxoWYUY,@lenovo_marco And Transnistria. https://t.co/GuKOxoWYUY,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Lenovo Thanks for the quick response Chris. I´m located in Germany. (But if you only know the US / general EU release date thats fine),@Lenovo Thanks for the quick response Chris. I´m located in Germany. (But if you only know the US / general EU release date thats fine),0.2,0.54,positive,0.0,0.888,0.112,0.4404
@hee_saranggg Ako lang ito Lenovo na bobo hehe,@hee_saranggg Ako lang ito Lenovo na bobo hehe,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"楽天市場 Rakuten
パソコン 周辺機器
対応商品 Lenovo レノボ 14型ノートPC IdeaPad Slim 360 Ryzen 5 5500U/8GBメモリ/512GB SSD/Officeなし 82KT00CKJP
https://t.co/oOhPDV7cCe","楽天市場 Rakuten
パソコン 周辺機器
対応商品 Lenovo レノボ 14型ノートPC IdeaPad Slim 360 Ryzen 5 5500U/8GBメモリ/512GB SSD/Officeなし 82KT00CKJP
https://t.co/oOhPDV7cCe",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@penguiecub kaya mo yan lenovo,@penguiecub kaya mo yan lenovo,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Nightyxx Hi f00 bar! Thanks for reaching our support! May we know your location, so we can refer you to the Lenovo… https://t.co/SnQRPwg00P","@Nightyxx Hi f00 bar! Thanks for reaching our support! May we know your location, so we can refer you to the Lenovo… https://t.co/SnQRPwg00P",0.25,0.2,positive,0.0,0.715,0.285,0.7896
@convomf Lenovo,@convomf Lenovo,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Lenovo do you have an estimated release date (EU) for the new IdeaPad Chromebook Duet 3 with 8gb/128gb?,@Lenovo do you have an estimated release date (EU) for the new IdeaPad Chromebook Duet 3 with 8gb/128gb?,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
"🔥 Lenovo Tab M10 FHD Plus 

👉 179.37€ au lieu de 179.0€ pour cet article !
 🔗https://t.co/Z0xdQoWh3g https://t.co/jhiv2lN4gy","🔥 Lenovo Tab M10 FHD Plus 

👉 179.37€ au lieu de 179.0€ pour cet article !
 🔗https://t.co/Z0xdQoWh3g https://t.co/jhiv2lN4gy",0.0,0.0,neutral,0.0,1.0,0.0,0.0
【ゲリラDEAL10%還元】【短納期】Lenovo 直販 ノートパソコン 新品 office付き IdeaPad Flex 550 14.0型 FHD IPS タッチ Windows 11 Home Ryzen 5 メモリ 8GB… https://t.co/dBtLX0xluy,【ゲリラDEAL10%還元】【短納期】Lenovo 直販 ノートパソコン 新品 office付き IdeaPad Flex 550 14.0型 FHD IPS タッチ Windows 11 Home Ryzen 5 メモリ 8GB… https://t.co/dBtLX0xluy,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@convomf Tahun kemarin beli lenovo ideapad 3 R 5.
Agak nyesel karena tengah2. Harusnya sekalian Ideapad 5 R7, namba… https://t.co/8j386G2wn0","@convomf Tahun kemarin beli lenovo ideapad 3 R 5.
Agak nyesel karena tengah2. Harusnya sekalian Ideapad 5 R7, namba… https://t.co/8j386G2wn0",0.0,0.0,neutral,0.0,1.0,0.0,0.0
