0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
唯一WSL2に直接入れたDockerの場合、VSCodeからDockerコンテナに接続する際に、WSL2で起動してるLinux側からコマンド打ってVSCode起動させる必要が有るな,唯一WSL2に直接入れたDockerの場合、VSCodeからDockerコンテナに接続する際に、WSL2で起動してるLinux側からコマンド打ってVSCode起動させる必要が有るな,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Linuxもあるんだ https://t.co/BfkzJ5grhz,Linuxもあるんだ https://t.co/BfkzJ5grhz,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Browser''s cookie is corrupted -- someone''s been nibbling on it. 

#linux #fortune #cookies #bofh_excuses","Browser''s cookie is corrupted -- someone''s been nibbling on it. 

#linux #fortune #cookies #bofh_excuses",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@anubis_linux Eran los lugares que soñaba visitar  😆,@anubis_linux Eran los lugares que soñaba visitar  😆,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"名言すぎる。
「150ドル程度なので、出資する場合はそのあたり分かった上で、期待とともにポチり、その後すぐに忘れましょう。忘れた頃に届いたら楽しい気持ちになります。」

物理QWERTYキー搭載の手のひらLinux PC「ShaR… https://t.co/Vf4gnbuPfd","名言すぎる。
「150ドル程度なので、出資する場合はそのあたり分かった上で、期待とともにポチり、その後すぐに忘れましょう。忘れた頃に届いたら楽しい気持ちになります。」

物理QWERTYキー搭載の手のひらLinux PC「ShaR… https://t.co/Vf4gnbuPfd",0.0,0.0,neutral,0.0,1.0,0.0,0.0
Make sure you install Warp on any Linux desktop that needs to transfer or receive files from you.… https://t.co/Lsm88uLUkw,Make sure you install Warp on any Linux desktop that needs to transfer or receive files from you.… https://t.co/Lsm88uLUkw,0.5,0.8888888888888888,positive,0.0,0.887,0.113,0.3182
#fedora #linux  Re: Kernel 5.18 Test Week 2022-06-05 through 2022-06-11 https://t.co/XhUyQqsloY,#fedora #linux  Re: Kernel 5.18 Test Week 2022-06-05 through 2022-06-11 https://t.co/XhUyQqsloY,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Android هو نظام تشغيل مفتوح المصدر وقائم على Linux
للأجهزة المحمولة مثل الهواتف الذكية وأجهزة الكمبيوتر اللوحية.📱💻… https://t.co/Per2tqxqvA","Android هو نظام تشغيل مفتوح المصدر وقائم على Linux
للأجهزة المحمولة مثل الهواتف الذكية وأجهزة الكمبيوتر اللوحية.📱💻… https://t.co/Per2tqxqvA",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Linuxアプリ制作者へ

DLページに 『想定プレイ時間』 を書いてくれると助かります
腰を据えてじっくり遊びたい、スキマ時間に楽しみたい、とLinuxアプリ探すときの指標になるので助かります( ˘ω˘ )

案外書いてない人多いのよね","Linuxアプリ制作者へ

DLページに 『想定プレイ時間』 を書いてくれると助かります
腰を据えてじっくり遊びたい、スキマ時間に楽しみたい、とLinuxアプリ探すときの指標になるので助かります( ˘ω˘ )

案外書いてない人多いのよね",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Google Chrome 102.0.5005.115 / 103.0.5060.42 Beta / 104.0.5110.0 Dev
https://t.co/s9JF0O6coE
Browse the Internet in… https://t.co/Vf8ggSzr0Y","Google Chrome 102.0.5005.115 / 103.0.5060.42 Beta / 104.0.5110.0 Dev
https://t.co/s9JF0O6coE
Browse the Internet in… https://t.co/Vf8ggSzr0Y",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"XFCE 4.16 + Debian 11 + Colloid-Dark-Compact Themes

#ViernesDeEscritorio #Linux #Debian #Os #Unix #Desktop https://t.co/6bgG3GkfDS","XFCE 4.16 + Debian 11 + Colloid-Dark-Compact Themes

#ViernesDeEscritorio #Linux #Debian #Os #Unix #Desktop https://t.co/6bgG3GkfDS",0.0,0.0,neutral,0.0,1.0,0.0,0.0
Why most Linux sysadmin have a grudge againts powershell or they don't like it ? #devops https://t.co/bjLomlwrDd,Why most Linux sysadmin have a grudge againts powershell or they don't like it ? #devops https://t.co/bjLomlwrDd,0.5,0.5,negative,0.131,0.869,0.0,-0.2755
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● Linuxのディストリビューシ…
● キノコの山 と たけのこの里…
● Gnome好き？
● xfce好き？
#質問箱 #匿名質問募集中

https://t.co/FAd3rIdjZH","みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● Linuxのディストリビューシ…
● キノコの山 と たけのこの里…
● Gnome好き？
● xfce好き？
#質問箱 #匿名質問募集中

https://t.co/FAd3rIdjZH",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@linux_deepin I really like the frosted glass aesthetic,@linux_deepin I really like the frosted glass aesthetic,0.2,0.2,positive,0.0,0.682,0.318,0.4201
ansible - Can i use when condition in defination(start of Playbook) section of Ansilbe playbook - Unix &amp; Linux Stac… https://t.co/n5CuGfbquV,ansible - Can i use when condition in defination(start of Playbook) section of Ansilbe playbook - Unix &amp; Linux Stac… https://t.co/n5CuGfbquV,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Symbiote: A New, Nearly-Impossible-to-Detect Linux Threat https://t.co/gqiE10fGCs via @YouTube","Symbiote: A New, Nearly-Impossible-to-Detect Linux Threat https://t.co/gqiE10fGCs via @YouTube",0.13636363636363635,0.45454545454545453,negative,0.327,0.673,0.0,-0.5267
인생을 드라이브처럼 나눠보세요,인생을 드라이브처럼 나눠보세요,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@pupurucom 使えなくなるんじゃなくてもとから使えないんです。
Windowsは上級者向けですから。

初心者向けのLinux　FreeBSDで精一杯です。","@pupurucom 使えなくなるんじゃなくてもとから使えないんです。
Windowsは上級者向けですから。

初心者向けのLinux　FreeBSDで精一杯です。",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@PMS_Jordan It works if you have Index, but I have Oculus which doesn't even work on Windows 11, lmao, not to menti… https://t.co/1UIeoz3NMk","@PMS_Jordan It works if you have Index, but I have Oculus which doesn't even work on Windows 11, lmao, not to menti… https://t.co/1UIeoz3NMk",0.6,1.0,positive,0.0,0.797,0.203,0.7469
Hello everyone! This is going to a absolute new start to my Twitter journey! I will be posting a Thread every week… https://t.co/W22JOhpm26,Hello everyone! This is going to a absolute new start to my Twitter journey! I will be posting a Thread every week… https://t.co/W22JOhpm26,0.18522727272727274,0.6772727272727272,neutral,0.0,1.0,0.0,0.0
@DarthChillash Does VR not work with Linux?,@DarthChillash Does VR not work with Linux?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Hackers using #stealthy #Linux back-door Symbiote to steal credentials - ARN https://t.co/7BbOTVfFpX #Sec_Cyber,Hackers using #stealthy #Linux back-door Symbiote to steal credentials - ARN https://t.co/7BbOTVfFpX #Sec_Cyber,0.0,0.0,negative,0.225,0.775,0.0,-0.4939
#fedora #linux  Re: can't reach internet. https://t.co/8zKcXaHOky,#fedora #linux  Re: can't reach internet. https://t.co/8zKcXaHOky,0.0,0.0,negative,0.152,0.848,0.0,-0.0191
"#Apache #Linux NGINX Expert to fix 404: Hi there, currently, I have an issue when trying to enable SSL on my tenant… https://t.co/GTAE3KDI2h","#Apache #Linux NGINX Expert to fix 404: Hi there, currently, I have an issue when trying to enable SSL on my tenant… https://t.co/GTAE3KDI2h",0.0,0.4,neutral,0.0,1.0,0.0,0.0
"👋 New Remote Job! Tier 1-2, Customer Support Specialist at Linux Foundation. #RemoteJobs #RemoteWork #Remote… https://t.co/zRZtgGqZFv","👋 New Remote Job! Tier 1-2, Customer Support Specialist at Linux Foundation. #RemoteJobs #RemoteWork #Remote… https://t.co/zRZtgGqZFv",0.005681818181818177,0.32727272727272727,positive,0.0,0.824,0.176,0.4574
