0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"""And Jesus rebuked the devil; and he departed out of him: and the child was cured from that very hour."" ~Matthew 17:18 #Hope #God #Bible","""And Jesus rebuked the devil; and he departed out of him: and the child was cured from that very hour."" ~Matthew 17:18 #Hope #God #Bible",0.2,0.3,negative,0.155,0.845,0.0,-0.6597
Las imágenes de María Jesús Montero en un mitin de Málaga que dan vergüenza ajena: https://t.co/QGv3RBw1V1,Las imágenes de María Jesús Montero en un mitin de Málaga que dan vergüenza ajena: https://t.co/QGv3RBw1V1,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@TheBlack_Void_ Jesus who said that,@TheBlack_Void_ Jesus who said that,0.0,0.0,neutral,0.0,1.0,0.0,0.0
mcatee would be our next esr/colwill level loan. still got to make the step from pl2 level but Jesus Christ 24 cont… https://t.co/d0RPYfDHGO,mcatee would be our next esr/colwill level loan. still got to make the step from pl2 level but Jesus Christ 24 cont… https://t.co/d0RPYfDHGO,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"DÍA 12. LA CONFESIÓN  

Sagrado Corazón de Jesús, en Vos confío

#SomosCastrense #SagradoCorazon https://t.co/WZHhDZwaV6","DÍA 12. LA CONFESIÓN  

Sagrado Corazón de Jesús, en Vos confío

#SomosCastrense #SagradoCorazon https://t.co/WZHhDZwaV6",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@smileycherry2 It's recoperating what Jesus said.... forgive 77*7,@smileycherry2 It's recoperating what Jesus said.... forgive 77*7,0.0,0.0,positive,0.0,0.769,0.231,0.2732
jesus fiquei a noite todo chapado com um brisadeiro aquele foi poderoso,jesus fiquei a noite todo chapado com um brisadeiro aquele foi poderoso,0.0,0.0,neutral,0.0,1.0,0.0,0.0
meu jesus é easy,meu jesus é easy,0.43333333333333335,0.8333333333333334,positive,0.0,0.408,0.592,0.4404
"Father, as I pray now every wrong atmosphere in my habitation, place of work and where I live; contrary to my prosp… https://t.co/UQzpInUzlc","Father, as I pray now every wrong atmosphere in my habitation, place of work and where I live; contrary to my prosp… https://t.co/UQzpInUzlc",-0.18181818181818182,0.7,negative,0.127,0.779,0.094,-0.2023
@ProphetJoLynne I RECEIVE IT IN JESUS NAME AMEN,@ProphetJoLynne I RECEIVE IT IN JESUS NAME AMEN,0.0,0.0,neutral,0.0,1.0,0.0,0.0
