0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"Prosecuter: The issue, my Lord, is not that she quoted incorrectly. It is that she did not quote it with the revere… https://t.co/u4dRuQ184j","Prosecuter: The issue, my Lord, is not that she quoted incorrectly. It is that she did not quote it with the revere… https://t.co/u4dRuQ184j",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"GlobalHinduUnity
‘O prophet, make war against the infidels and treat them severely.’ My great
object in invading Hi… https://t.co/DBYB6Py7sM","GlobalHinduUnity
‘O prophet, make war against the infidels and treat them severely.’ My great
object in invading Hi… https://t.co/DBYB6Py7sM",0.8,0.75,positive,0.146,0.599,0.255,0.4404
"In Malaysia, it was Salafis who wrote many intellectual responses against those who insulted the prophet / distort… https://t.co/wZ7R5X2Bw0","In Malaysia, it was Salafis who wrote many intellectual responses against those who insulted the prophet / distort… https://t.co/wZ7R5X2Bw0",0.4,0.45,neutral,0.146,0.708,0.146,0.0
"@3rd_Handle @ARanganathan72 Big Difference, is these are ordinary ppl while what prophet did is still followed by b… https://t.co/pjxHROkPPv","@3rd_Handle @ARanganathan72 Big Difference, is these are ordinary ppl while what prophet did is still followed by b… https://t.co/pjxHROkPPv",-0.125,0.3,neutral,0.0,1.0,0.0,0.0
@CMShehbaz @m_orngzaib All Pakistani nationality holder extend his wishies . Primemenister Shahbaz Sharif die and m… https://t.co/5P621mYx5m,@CMShehbaz @m_orngzaib All Pakistani nationality holder extend his wishies . Primemenister Shahbaz Sharif die and m… https://t.co/5P621mYx5m,0.0,0.0,negative,0.199,0.714,0.087,-0.4939
"#GlobalHinduUnity
‘O prophet, make war against the infidels and treat them severely.’ My great
object in invading H… https://t.co/YKNrXKqlsp","#GlobalHinduUnity
‘O prophet, make war against the infidels and treat them severely.’ My great
object in invading H… https://t.co/YKNrXKqlsp",0.8,0.75,positive,0.146,0.599,0.255,0.4404
@illocompadre @ABF_binfahad @orikron Abbasids didn't betray Ummayads but jjst like Ummayads thry betrayed the famil… https://t.co/9AZ8enWs4T,@illocompadre @ABF_binfahad @orikron Abbasids didn't betray Ummayads but jjst like Ummayads thry betrayed the famil… https://t.co/9AZ8enWs4T,0.0,0.0,negative,0.23,0.543,0.227,-0.2654
@beingkashifamin @UnSubtleDesi If your prophet is your pride just let me know he really married to 9 years old Ayesha or its only rumor,@beingkashifamin @UnSubtleDesi If your prophet is your pride just let me know he really married to 9 years old Ayesha or its only rumor,0.11666666666666665,0.48333333333333334,positive,0.0,0.902,0.098,0.34
@V1bzAries @m1mosa_prophet ☠,@V1bzAries @m1mosa_prophet ☠,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Narrated Az-Zuhri (Radi-Allahu 'anhu):

The Prophet (Sallallahu 'Alaihi Wa Sallam) prohibited the eating of beasts… https://t.co/WMgTbTdGE6","Narrated Az-Zuhri (Radi-Allahu 'anhu):

The Prophet (Sallallahu 'Alaihi Wa Sallam) prohibited the eating of beasts… https://t.co/WMgTbTdGE6",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@taslimanasreen Pls don't judge, because you're not Prophet Muhammad. It's a shame passing derogatory remarks again… https://t.co/DUXd8bTYcN","@taslimanasreen Pls don't judge, because you're not Prophet Muhammad. It's a shame passing derogatory remarks again… https://t.co/DUXd8bTYcN",0.0,0.0,negative,0.168,0.761,0.071,-0.4215
"@Ahmadeeeyy @hafsaey Meaning:""... And there never was a nation but a WARNER (Prophet) had passed among them"" 

So h… https://t.co/Iit3AmywWT","@Ahmadeeeyy @hafsaey Meaning:""... And there never was a nation but a WARNER (Prophet) had passed among them"" 

So h… https://t.co/Iit3AmywWT",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"पत्रचार @tavleen_singh का लेख:
नफरत का कारखाना
'दुनिया जानती है कि जबसे नरेंद्र मोदी का ‘न्यू इंडिया’ बना है, तबसे… https://t.co/ZBmvIDfeyu","पत्रचार @tavleen_singh का लेख:
नफरत का कारखाना
'दुनिया जानती है कि जबसे नरेंद्र मोदी का ‘न्यू इंडिया’ बना है, तबसे… https://t.co/ZBmvIDfeyu",0.0,0.0,neutral,0.0,1.0,0.0,0.0
Burqa clad women protest over derogatory remarks against Prophet (PBUH) in Sopore https://t.co/OLiGOdZMP7,Burqa clad women protest over derogatory remarks against Prophet (PBUH) in Sopore https://t.co/OLiGOdZMP7,0.0,0.0,negative,0.143,0.857,0.0,-0.25
